名称,ID,日期,充电功率/MW,当日平均充电功率/MW,当日最大充电功率/MW,当日 MAXV 对应时间,当日 V 最小值/MW,当日 MINV 对应时间,充电时长/h,当日所有 S 的均值/h,当日 S 的最大值/h,当日 S 的最小值/h,当日最大充电时长跨度/h
NAME,SENID,TIME,V,AVGV,MAXV,MAXT,MINV,MINT,S,AVGS,MAXS,MINS,SPAN
电动汽车充电站,1001-1012,2024/1/1 0:00,6.93,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 0:15,7.48,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.251,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 0:30,8.22,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 0:45,8.9,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 1:00,9.05,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.253,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 1:15,9.3,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.25,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 1:30,9.61,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.26,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 1:45,9.32,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 2:00,8.76,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.245,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 2:15,8.36,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.252,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 2:30,7.51,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 2:45,6.72,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.25,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 3:00,5.99,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.236,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 3:15,4.84,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.243,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 3:30,4.1,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 3:45,3.58,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 4:00,2.92,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 4:15,2.65,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.245,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 4:30,2.11,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 4:45,1.79,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 5:00,2.08,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 5:15,1.79,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.231,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 5:30,1.87,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 5:45,1.76,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.23,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 6:00,2.08,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.23,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 6:15,2.42,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.235,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 6:30,2.53,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 6:45,3.09,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.238,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 7:00,3.32,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 7:15,3.76,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 7:30,4.13,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 7:45,4.91,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.23,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 8:00,5.03,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.238,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 8:15,5.25,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 8:30,5.86,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.249,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 8:45,5.83,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 9:00,6.24,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.231,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 9:15,6.05,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.237,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 9:30,6.19,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 9:45,6.37,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.232,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 10:00,6.33,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.248,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 10:15,6.05,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.234,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 10:30,5.74,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.244,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 10:45,5.39,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.235,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 11:00,4.85,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.247,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 11:15,4.58,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.238,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 11:30,4.23,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.236,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 11:45,4.07,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 12:00,3.59,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.232,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 12:15,2.94,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 12:30,2.96,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.234,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 12:45,2.61,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.232,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 13:00,2.37,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.234,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 13:15,2.43,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.229,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 13:30,2.41,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.234,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 13:45,2.38,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.236,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 14:00,2.16,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.223,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 14:15,2.34,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.24,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 14:30,2.59,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.239,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 14:45,2.89,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.227,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 15:00,2.92,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.226,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 15:15,3.26,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 15:30,3.46,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
电动汽车充电站,1001-1012,2024/1/1 15:45,3.81,5.17,9.61,2024/1/1 1:30,1.76,2024/1/1 5:45,0.241,0.24,0.26,0.223,0.037
