日期,天气状况,最高温_摄氏度,最低温_摄氏度,风力风向
2024-01-01,晴/多云,14.0,4.0,北风1-3级/北风1-3级
2024-01-02,小雨/阴,9.0,3.0,西北风1-3级/北风1-3级
2024-01-03,晴/晴,12.0,1.0,北风1-3级/南风1-3级
2024-01-04,晴/多云,14.0,1.0,东北风1-3级/南风1-3级
2024-01-05,多云/小雨,17.0,6.0,北风1-3级/北风1-3级
2024-01-06,多云/多云,17.0,5.0,北风1-3级/北风1-3级
2024-01-07,多云/小雨,16.0,7.0,北风1-3级/北风1-3级
2024-01-08,阴/小雨,11.0,7.0,北风1-3级/北风1-3级
2024-01-09,阴/多云,11.0,6.0,西北风1-3级/北风1-3级
2024-01-10,晴/晴,14.0,1.0,北风1-3级/北风1-3级
2024-01-11,晴/晴,16.0,2.0,东北风1-3级/南风1-3级
2024-01-12,晴/晴,19.0,4.0,东北风1-3级/南风1-3级
2024-01-13,晴/多云,22.0,5.0,东风1-3级/南风1-3级
2024-01-14,多云/多云,19.0,8.0,东北风1-3级/北风1-3级
2024-01-15,多云/多云,16.0,6.0,东北风1-3级/北风1-3级
2024-01-16,晴/晴,16.0,6.0,北风1-3级/北风1-3级
2024-01-17,晴/多云,22.0,5.0,东风1-3级/东风1-3级
2024-01-18,小雨/小雨,12.0,8.0,北风1-3级/北风1-3级
2024-01-19,小雨/中雨,9.0,5.0,北风1-3级/北风1-3级
2024-01-20,小雨/阴,6.0,3.0,北风1-3级/东风1-3级
2024-01-21,阴/中雪,6.0,0.0,北风1-3级/北风1-3级
2024-01-22,大雪/多云,0.0,-6.0,北风1-3级/北风1-3级
2024-01-23,多云/晴,1.0,-7.0,北风1-3级/北风1-3级
2024-01-24,晴/阴,4.0,-5.0,北风1-3级/北风1-3级
2024-01-25,多云/多云,6.0,-1.0,北风1-3级/北风1-3级
2024-01-26,多云/阴,9.0,1.0,北风1-3级/西风1-3级
2024-01-27,多云/多云,11.0,0.0,东北风1-3级/东北风1-3级
2024-01-28,阴/小雨,12.0,1.0,西北风1-3级/东北风1-3级
2024-01-29,小雨/小雨,9.0,4.0,东风1-3级/东风1-3级
2024-01-30,小雨/小雨,13.0,7.0,东北风1-3级/东北风1-3级
2024-01-31,多云/小雨,19.0,10.0,西风1-3级/北风1-3级
2024-02-01,小雨/小雨,13.0,5.0,北风1-3级/北风1-3级
2024-02-02,小雨/小雨,6.0,3.0,北风1-3级/北风1-3级
2024-02-03,小雨/小雨,5.0,3.0,北风1-3级/北风1-3级
2024-02-04,中雨/阴,4.0,1.0,西北风1-3级/东北风1-3级
2024-02-05,阴/小雨,5.0,1.0,北风1-3级/东北风1-3级
2024-02-06,小雨/小雨,3.0,1.0,北风1-3级/北风1-3级
2024-02-07,小雨/小雨,3.0,0.0,北风1-3级/北风1-3级
2024-02-08,小雨/阴,6.0,1.0,北风1-3级/北风1-3级
2024-02-09,晴/晴,12.0,0.0,东北风1-3级/西南风1-3级
2024-02-10,晴/晴,16.0,2.0,东风1-3级/东南风1-3级
2024-02-11,晴/晴,18.0,1.0,东北风1-3级/南风1-3级
2024-02-12,晴/晴,21.0,4.0,南风1-3级/南风1-3级
2024-02-13,阵雨/多云,19.0,10.0,南风1-3级/西南风1-3级
2024-02-14,多云/小雨,25.0,12.0,东北风1-3级/南风1-3级
2024-02-15,小雨/小雨,17.0,6.0,北风1-3级/北风1-3级
2024-02-16,阴/多云,11.0,6.0,东北风1-3级/南风1-3级
2024-02-17,多云/多云,21.0,9.0,东北风1-3级/东风1-3级
2024-02-18,多云/晴,28.0,18.0,东风1-3级/东南风1-3级
2024-02-19,多云/阵雨,29.0,16.0,南风1-3级/北风1-3级
2024-02-20,多云/多云,21.0,10.0,东北风1-3级/北风1-3级
2024-02-21,中雨/中雨,9.0,2.0,北风1-3级/北风1-3级
2024-02-22,小雨/小雨,3.0,1.0,北风1-3级/北风1-3级
2024-02-23,小雨/小雨,2.0,-1.0,东北风1-3级/东北风1-3级
2024-02-24,小雨/小雨,2.0,0.0,东北风1-3级/东北风1-3级
2024-02-25,阴/小雨,4.0,1.0,北风1-3级/北风1-3级
2024-02-26,小雨/小雨,4.0,2.0,北风1-3级/北风1-3级
2024-02-27,阴/小雨,7.0,2.0,北风1-3级/北风1-3级
2024-02-28,小雨/中雨,7.0,4.0,北风1-3级/北风1-3级
2024-02-29,小雨/阴,6.0,3.0,西北风1-3级/西北风1-3级
2024-03-01,小雨/多云,7.0,2.0,东北风1-3级/北风1-3级
2024-03-02,多云/多云,11.0,1.0,北风1-3级/西南风1-3级
2024-03-03,晴/小雨,16.0,2.0,东北风1-3级/东南风1-3级
2024-03-04,小雨/小雨,14.0,10.0,南风1-3级/南风1-3级
2024-03-05,小雨/阴,13.0,8.0,东南风1-3级/东风1-3级
2024-03-06,小雨/阴,13.0,8.0,东南风1-3级/东风1-3级
2024-03-07,多云/晴,15.0,6.0,北风1-3级/北风1-3级
2024-03-08,晴/多云,17.0,5.0,北风1-3级/北风1-3级
